"LEVEL"|"ENV"|"COID"|"PART NUMBER"|"PART VERSION"|"MATURITY"|"DESCRIPTION"|"TYPE"|"LINK"|"SOURCE"|"CHILD ENV"|"CHILD COID"|"CHILD PART NUMBER"|"CHILD PART VERSION"|"CHILD MATURITY"|"CHILD DESCRIPTION"|"CHILD TYPE"
"2"|"DEFINITN"|"3D3DC2C8BDE8174B"|"AK00002600901"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN IP20 APS 400VAC"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2C8BDE104E8"|"AKD0002601367"|"'--C"|"RELEASED"|"VARIANT 2.2.2.2 - SINGLE FAN IP20 APS 400VAC"|"DRAWING"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC1FDE1EB76E2"|"AK00002596415"|"'--B"|"RELEASED"|"HARNESS CLASS A - SINGLE 400VAC FAN"|"ASSEMBLY"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC26B6EC20CD8"|"AK00002596419"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"ASSEMBLY"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC2CB59C63E6C"|"AK00002600923"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"ASSEMBLY"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"0D00E7C033700194"|"AKD0002596423"|"'--A"|"RELEASED"|"CONNECTORS"|"DITTO ASSY"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC08F13811145"|"AKD0002596423"|"'--A"|"RELEASED"|"CONNECTORS"|"DITTO"
"3"|"DEFINITN"|"3D3DC2CB59AA5C8A"|"AK00002596414"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2DB750B3F25"|"AKD0002596424"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"DRAWING"
"4"|"DESIGN"|"3D3DC2DB750B3F25"|"AKD0002596424"|"'--C"|"RELEASED"|"VARIANT 3.2 - SINGLE FAN 400VAC HARNESS"|"DRAWING"|"NO LINKS"
"4"|"DEFINITN"|"3D3DC2CB59C63E6C"|"AK00002600923"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2CB59DD266D"|"AKD0002600924"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"DITTO"
"4"|"DEFINITN"|"3D3DC2CB59C63E6C"|"AK00002600923"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2CB59EA6071"|"AKD0002600925"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"HARNESS"
"4"|"DEFINITN"|"3D3DC2CB59C63E6C"|"AK00002600923"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC2CB59F51E3E"|"AKD0002600926"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"DRAWING"
"5"|"DESIGN"|"3D3DC2CB59F51E3E"|"AKD0002600926"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"DRAWING"|"NO LINKS"
"5"|"DESIGN"|"3D3DC2CB59EA6071"|"AKD0002600925"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"HARNESS"|"NO LINKS"
"5"|"DESIGN"|"3D3DC2CB59DD266D"|"AKD0002600924"|"'--B"|"RELEASED"|"HARNESS CLASS B - SINGLE 400VAC FAN"|"DITTO"|"NO LINKS"
"4"|"DEFINITN"|"3D3DC26B6EC20CD8"|"AK00002596419"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"
"4"|"DEFINITN"|"3D3DC26B6EC20CD8"|"AK00002596419"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC26B6EDF54BF"|"AKD0002596421"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"HARNESS"
"4"|"DEFINITN"|"3D3DC26B6EC20CD8"|"AK00002596419"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC26B6EE642A1"|"AKD0002596422"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DRAWING"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DC26B6EDF54BF"|"AKD0002596421"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"HARNESS"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"000039AC311A4CB5"|"DTR0000174952"|"'--D"|"RELEASED"|"PLUG SMS 9PTS STRAIN RELIEF HOOD"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"00003A8764DF0038"|"DTR0000191036"|"'--G"|"RELEASED"|"RECEPTACLE SMS 9PTS PANEL MOUNT"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"0000319451BC4A0F"|"DTR0000340190"|"'--B"|"RELEASED"|"FICTIVE FEED THROUGH"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"6F002F2083DC4A46"|"HHD0000043300"|"'--A"|"RELEASED"|"DRAPEAU  PART 1"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6ED51555"|"AKD0002596420"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"6F002F2083FD44AB"|"HHD0000043302"|"'--A"|"RELEASED"|"DRAPEAU  PART 2"|"MASTER"
"5"|"DESIGN"|"3D3DC26B6EDF54BF"|"AKD0002596421"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"HARNESS"|"NO LINKS"
"5"|"DESIGN"|"3D3DC26B6EE642A1"|"AKD0002596422"|"'--B"|"RELEASED"|"HARNESS CLASS C - SINGLE 400VAC FAN"|"DRAWING"|"NO LINKS"
"4"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DEFINITN"|"3D3DC20DDDD527C8"|"AK00002596432"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO ASSY"
"4"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC205F587661D"|"AKD0002596433"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"DRAWING"
"4"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"
"4"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"FOLDERS"|"3D3DC205F60B2BCC"|"AK00002596429"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID ITAC BL2"|"DESIGN"
"4"|"DEFINITN"|"3D3DC205F54D66F2"|"AK00002596428"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"ASSEMBLY"|"HAS LINKS"|"REGULAR"|"FOLDERS"|"3D3DC0EF90E0791D"|"AK00002600788"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"STUDY"
"5"|"DEFINITN"|"3D3DC20DDDD527C8"|"AK00002596432"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO ASSY"|"HAS LINKS"|"REGULAR"|"COMMERCE"|"F400006D33D53868"|"DTR0000109977"|"'--A"|"USEABLE"|"BRAID GROUND TMS 16 LENGTH 100"|"BOUGHT"
"5"|"DEFINITN"|"3D3DC20DDDD527C8"|"AK00002596432"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO ASSY"|"HAS LINKS"|"REGULAR"|"COMMERCE"|"F400006D33F53868"|"DTR0000109981"|"'--A"|"USEABLE"|"BRAID GROUND TMS16 LG.100 DIA. 6-8"|"BOUGHT"
"6"|"COMMERCE"|"F400006D33F53868"|"DTR0000109981"|"'--A"|"USEABLE"|"BRAID GROUND TMS16 LG.100 DIA. 6-8"|"BOUGHT"|"NO LINKS"
"6"|"COMMERCE"|"F400006D33D53868"|"DTR0000109977"|"'--A"|"USEABLE"|"BRAID GROUND TMS 16 LENGTH 100"|"BOUGHT"|"NO LINKS"
"5"|"FOLDERS"|"3D3DC205F60B2BCC"|"AK00002596429"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID ITAC BL2"|"DESIGN"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC27752375FCC"|"AKD0002596431"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109981"|"HARNESS"
"5"|"FOLDERS"|"3D3DC205F60B2BCC"|"AK00002596429"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID ITAC BL2"|"DESIGN"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC27752442520"|"AKD0002596763"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109977"|"HARNESS"
"6"|"DESIGN"|"3D3DC27752442520"|"AKD0002596763"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109977"|"HARNESS"|"NO LINKS"
"6"|"DESIGN"|"3D3DC27752375FCC"|"AKD0002596431"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109981"|"HARNESS"|"NO LINKS"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DC27752375FCC"|"AKD0002596431"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109981"|"HARNESS"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DC27752442520"|"AKD0002596763"|"'--B"|"RELEASED"|"EARTH BRAID DTR0000109977"|"HARNESS"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B1F42990"|"AKD0002392047"|"'--A"|"RELEASED"|"END BRAID TMS16 - 20X20X1.6 - 6.5"|"MASTER"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B1F42990"|"AKD0002392047"|"'--A"|"RELEASED"|"END BRAID TMS16 - 20X20X1.6 - 6.5"|"MASTER"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B2442AF2"|"AKD0002392049"|"'--A"|"RELEASED"|"END BRAID TMS16 - 20X20X1.6 - 8.5"|"MASTER"
"5"|"DESIGN"|"3D3DC205F597124F"|"AKD0002596434"|"'--B"|"RELEASED"|"DEFORMATION - EARTH BRAID"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B1F42990"|"AKD0002392047"|"'--A"|"RELEASED"|"END BRAID TMS16 - 20X20X1.6 - 6.5"|"MASTER"
"5"|"DESIGN"|"3D3DC205F587661D"|"AKD0002596433"|"'--B"|"RELEASED"|"GROUNDING - SINGLE 400VAC FAN"|"DRAWING"|"NO LINKS"
"5"|"FOLDERS"|"3D3DC0EF90E0791D"|"AK00002600788"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"STUDY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"
"5"|"FOLDERS"|"3D3DC0EF90E0791D"|"AK00002600788"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"STUDY"|"HAS LINKS"|"REGULAR"|"DESIGN"|"3D3DC0EF914640E3"|"AKD0002600792"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"HARNESS"
"6"|"DESIGN"|"3D3DC0EF914640E3"|"AKD0002600792"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"HARNESS"|"NO LINKS"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DC0EF914640E3"|"AKD0002600792"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"HARNESS"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B68F018B"|"AKD0002392079"|"'--A"|"RELEASED"|"END BRAID TMS50 - 25X25X4 - 8.5"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B68F018B"|"AKD0002392079"|"'--A"|"RELEASED"|"END BRAID TMS50 - 25X25X4 - 8.5"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"000038603E541042"|"DTR0000521214"|"'--A"|"RELEASED"|"WASHER PLAIN L M8 ZNNI 0.15"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"AB00000000005828"|"DTR0000606817"|"'--A"|"RELEASED"|"SCREW H M8X25 ZNNI"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"00003BCA8CF254AD"|"DTR0000521218"|"'--C"|"RELEASED"|"NUT H LOCK 2 SLOTS M8 ZNNI 0.15"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"00003C0C860847AD"|"DTR0000521216"|"'--B"|"RELEASED"|"WASHER CS L M8 ZNNI 0.15"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"000038603E541042"|"DTR0000521214"|"'--A"|"RELEASED"|"WASHER PLAIN L M8 ZNNI 0.15"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"3D3DB632B68F018B"|"AKD0002392079"|"'--A"|"RELEASED"|"END BRAID TMS50 - 25X25X4 - 8.5"|"MASTER"
"6"|"DESIGN"|"3D3DC0EF912F3DDF"|"AKD0002600790"|"'--A"|"ACHIEVED"|"BRAID OPEN COVER"|"DITTO"|"HAS LINKS"|"CATP CHILD"|"DESIGN"|"000038603E541042"|"DTR0000521214"|"'--A"|"RELEASED"|"WASHER PLAIN L M8 ZNNI 0.15"|"MASTER"
